net,length_um
net3358,32.98µm
net3535,32.98µm
g_row\[1\].g_col\[0\].pe/_1066_,32.96µm
g_row\[0\].g_col\[1\].pe/_1165_,32.95µm
g_row\[0\].g_col\[0\].pe/_0994_,32.88µm
g_row\[1\].g_col\[1\].pe/_0807_,32.86µm
g_row\[1\].g_col\[1\].pe/_1152_,32.8µm
g_row\[1\].g_col\[1\].pe/net1953,32.79µm
g_row\[0\].g_col\[0\].pe/net1685,32.74µm
g_row\[1\].g_col\[1\].pe/_0004_,32.72µm
net2713,32.7µm
a_reg\[7\],32.68µm
g_row\[0\].g_col\[1\].pe/_1280_,32.68µm
g_row\[1\].g_col\[0\].pe/_1113_,32.66µm
g_row\[0\].g_col\[1\].pe/_1177_,32.655µm
net2785,32.64µm
g_row\[1\].g_col\[1\].pe/_0077_,32.58µm
g_row\[0\].g_col\[0\].pe/_1203_,32.57µm
g_row\[1\].g_col\[0\].pe/_0236_,32.56µm
g_row\[1\].g_col\[0\].pe/net1925,32.545µm
g_row\[0\].g_col\[1\].pe/_1289_,32.54µm
g_row\[1\].g_col\[0\].pe/_0120_,32.54µm
clknet_leaf_64_clk,32.5µm
net2466,32.465µm
g_row\[1\].g_col\[1\].pe/_0387_,32.46µm
g_row\[1\].g_col\[0\].pe/_0391_,32.44µm
g_row\[1\].g_col\[0\].pe/net2901,32.44µm
g_row\[1\].g_col\[1\].pe/net874,32.39µm
g_row\[1\].g_col\[0\].pe/_0410_,32.38µm
g_row\[1\].g_col\[0\].pe/_1140_,32.38µm
g_row\[1\].g_col\[1\].pe/_1321_,32.38µm
g_row\[0\].g_col\[0\].pe/_0017_,32.36µm
g_row\[1\].g_col\[0\].pe/_1138_,32.36µm
g_row\[0\].g_col\[0\].pe/_0372_,32.34µm
g_row\[0\].g_col\[0\].pe/_0947_,32.34µm
g_row\[0\].g_col\[1\].pe/_1302_,32.31µm
net3496,32.3µm
g_row\[1\].g_col\[1\].pe/net3020,32.26µm
g_row\[1\].g_col\[1\].pe/_0291_,32.21µm
g_row\[0\].g_col\[0\].pe/_1265_,32.2µm
g_row\[1\].g_col\[0\].pe/_0736_,32.2µm
g_row\[1\].g_col\[1\].pe/net1004,32.195µm
g_row\[0\].g_col\[1\].pe/net2154,32.19µm
clknet_leaf_18_clk,32.13µm
net2551,32.12µm
net2700,32.12µm
g_row\[1\].g_col\[0\].pe/_0359_,32.1µm
b_wire\[3\]\[13\],32.06µm
g_row\[0\].g_col\[0\].pe/_0747_,32.06µm
net3549,32.06µm
g_row\[0\].g_col\[1\].pe/net2163,32.045µm
g_row\[1\].g_col\[1\].pe/_0931_,32.02µm
g_row\[0\].g_col\[1\].pe/r4_acc\[2\],31.96µm
g_row\[1\].g_col\[0\].pe/_0991_,31.96µm
g_row\[1\].g_col\[0\].pe/_0092_,31.94µm
g_row\[1\].g_col\[1\].pe/r3_prod_mant\[10\],31.94µm
g_row\[0\].g_col\[1\].pe/net2162,31.94µm
g_row\[0\].g_col\[1\].pe/net968,31.9µm
net2667,31.86µm
net2362,31.84µm
g_row\[1\].g_col\[0\].pe/_0776_,31.83µm
g_row\[1\].g_col\[1\].pe/_0198_,31.82µm
clknet_leaf_50_clk,31.78µm
g_row\[0\].g_col\[0\].pe/_0623_,31.78µm
g_row\[0\].g_col\[0\].pe/_0031_,31.76µm
g_row\[1\].g_col\[1\].pe/_0503_,31.74µm
g_row\[0\].g_col\[0\].pe/net2008,31.72µm
clknet_leaf_23_clk,31.7µm
g_row\[0\].g_col\[1\].pe/_0460_,31.66µm
g_row\[1\].g_col\[0\].pe/_1064_,31.66µm
g_row\[0\].g_col\[0\].pe/_1321_,31.64µm
g_row\[0\].g_col\[1\].pe/_0409_,31.64µm
results_flat[6],31.64µm
g_row\[0\].g_col\[1\].pe/r3_prod_mant\[3\],31.62µm
net2414,31.6µm
net2668,31.6µm
g_row\[0\].g_col\[0\].pe/_0236_,31.58µm
net1403,31.54µm
g_row\[0\].g_col\[1\].pe/net1974,31.525µm
g_row\[1\].g_col\[0\].pe/_1315_,31.5µm
g_row\[1\].g_col\[0\].pe/_0132_,31.4µm
g_row\[1\].g_col\[1\].pe/_0142_,31.4µm
net3455,31.4µm
g_row\[0\].g_col\[0\].pe/_0319_,31.38µm
g_row\[0\].g_col\[1\].pe/_1215_,31.38µm
g_row\[0\].g_col\[1\].pe/net962,31.355µm
g_row\[0\].g_col\[0\].pe/_0903_,31.34µm
g_row\[1\].g_col\[1\].pe/_0777_,31.34µm
g_row\[1\].g_col\[1\].pe/net2865,31.34µm
net3509,31.34µm
clknet_leaf_20_clk,31.28µm
g_row\[1\].g_col\[1\].pe/_0583_,31.26µm
g_row\[0\].g_col\[1\].pe/_0915_,31.22µm
g_row\[0\].g_col\[1\].pe/_1243_,31.16µm
clknet_leaf_81_clk,31.12µm
net3481,31.12µm
net2596,31.08µm
g_row\[0\].g_col\[0\].pe/net1836,31.045µm
g_row\[0\].g_col\[1\].pe/_0807_,31.02µm
results_flat[32],31.01µm
g_row\[0\].g_col\[0\].pe/_1244_,31µm
g_row\[0\].g_col\[1\].pe/_1250_,31µm
g_row\[1\].g_col\[0\].pe/_0178_,31µm
g_row\[1\].g_col\[1\].pe/r3_prod_mant\[11\],31µm
net1582,31µm
g_row\[0\].g_col\[0\].pe/_0460_,30.98µm
g_row\[1\].g_col\[0\].pe/r4_acc\[9\],30.98µm
g_row\[1\].g_col\[0\].pe/_0073_,30.96µm
clknet_leaf_71_clk,30.88µm
net3302,30.86µm
net3581,30.84µm
g_row\[1\].g_col\[1\].pe/net3104,30.83µm
net2796,30.825µm
g_row\[1\].g_col\[0\].pe/_0076_,30.8µm
g_row\[0\].g_col\[0\].pe/net3041,30.8µm
g_row\[0\].g_col\[0\].pe/net1998,30.775µm
g_row\[1\].g_col\[0\].pe/_0314_,30.76µm
net1381,30.72µm
g_row\[0\].g_col\[1\].pe/_0407_,30.72µm
net2646,30.705µm
net3359,30.7µm
clknet_leaf_62_clk,30.64µm
g_row\[0\].g_col\[1\].pe/net2029,30.62µm
g_row\[1\].g_col\[0\].pe/net1837,30.6µm
g_row\[0\].g_col\[1\].pe/net951,30.58µm
net1603,30.58µm
_099_,30.56µm
g_row\[1\].g_col\[1\].pe/_0702_,30.56µm
net1520,30.56µm
g_row\[0\].g_col\[1\].pe/_1238_,30.54µm
g_row\[1\].g_col\[1\].pe/_0851_,30.54µm
net2741,30.54µm
net2766,30.505µm
g_row\[1\].g_col\[0\].pe/_1254_,30.48µm
results_flat[46],30.48µm
g_row\[1\].g_col\[0\].pe/_1116_,30.46µm
g_row\[1\].g_col\[0\].pe/net3023,30.46µm
net2746,30.44µm
g_row\[1\].g_col\[1\].pe/_0419_,30.42µm
g_row\[0\].g_col\[1\].pe/_0772_,30.36µm
net1563,30.34µm
g_row\[0\].g_col\[1\].pe/_0300_,30.3µm
g_row\[0\].g_col\[1\].pe/_1113_,30.28µm
g_row\[1\].g_col\[0\].pe/net1889,30.26µm
g_row\[1\].g_col\[1\].pe/_0219_,30.21µm
g_row\[0\].g_col\[0\].pe/_1318_,30.2µm
g_row\[0\].g_col\[1\].pe/_1161_,30.2µm
clknet_leaf_87_clk,30.2µm
g_row\[1\].g_col\[0\].pe/_0133_,30.18µm
net2724,30.18µm
g_row\[0\].g_col\[0\].pe/_0878_,30.16µm
net2718,30.145µm
net1435,30.14µm
g_row\[0\].g_col\[0\].pe/_0291_,30.12µm
g_row\[1\].g_col\[0\].pe/_0447_,30.11µm
g_row\[0\].g_col\[0\].pe/net1931,30.065µm
g_row\[0\].g_col\[0\].pe/r3_prod_mant\[1\],30.06µm
net2339,30.06µm
net2594,30.02µm
net3545,30.02µm
g_row\[1\].g_col\[0\].pe/net1935,29.98µm
g_row\[0\].g_col\[0\].pe/net2923,29.94µm
g_row\[1\].g_col\[0\].pe/_1164_,29.92µm
g_row\[0\].g_col\[0\].pe/_0600_,29.89µm
g_row\[1\].g_col\[1\].pe/_1308_,29.88µm
g_row\[0\].g_col\[0\].pe/_0267_,29.86µm
clknet_leaf_34_clk,29.86µm
g_row\[0\].g_col\[1\].pe/_0196_,29.82µm
g_row\[0\].g_col\[0\].pe/_1074_,29.81µm
g_row\[0\].g_col\[1\].pe/_0145_,29.8µm
g_row\[0\].g_col\[1\].pe/net1978,29.78µm
g_row\[0\].g_col\[0\].pe/net2275,29.76µm
net2642,29.74µm
clknet_leaf_8_clk,29.71µm
net2430,29.705µm
net2652,29.705µm
g_row\[0\].g_col\[0\].pe/net2013,29.68µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[7\],29.66µm
g_row\[1\].g_col\[0\].pe/_0363_,29.64µm
g_row\[1\].g_col\[0\].pe/_0409_,29.64µm
clknet_leaf_92_clk,29.64µm
net1312,29.62µm
g_row\[1\].g_col\[1\].pe/net883,29.62µm
net2517,29.62µm
g_row\[1\].g_col\[0\].pe/_0798_,29.61µm
g_row\[0\].g_col\[1\].pe/_0153_,29.58µm
g_row\[0\].g_col\[1\].pe/_0666_,29.58µm
g_row\[0\].g_col\[1\].pe/net853,29.54µm
net1619,29.52µm
g_row\[1\].g_col\[0\].pe/net2964,29.52µm
g_row\[1\].g_col\[1\].pe/_0747_,29.5µm
clknet_leaf_95_clk,29.5µm
net3433,29.5µm
g_row\[0\].g_col\[0\].pe/_0369_,29.48µm
g_row\[1\].g_col\[0\].pe/_0400_,29.48µm
g_row\[1\].g_col\[1\].pe/_0314_,29.48µm
g_row\[1\].g_col\[1\].pe/r3_prod_mant\[12\],29.47µm
net3530,29.46µm
net1535,29.38µm
net1429,29.32µm
net2615,29.28µm
g_row\[0\].g_col\[1\].pe/_0839_,29.26µm
g_row\[1\].g_col\[1\].pe/_0514_,29.26µm
g_row\[0\].g_col\[0\].pe/_0358_,29.24µm
g_row\[1\].g_col\[1\].pe/net1812,29.24µm
g_row\[1\].g_col\[1\].pe/net1952,29.225µm
b_wire\[2\]\[5\],29.22µm
clknet_leaf_38_clk,29.2µm
net1886,29.2µm
g_row\[1\].g_col\[1\].pe/_1235_,29.16µm
clknet_leaf_94_clk,29.16µm
g_row\[1\].g_col\[0\].pe/_0883_,29.14µm
net1588,29.12µm
g_row\[1\].g_col\[0\].pe/_0672_,29.1µm
net3489,29.08µm
b_wire\[2\]\[2\],29.02µm
g_row\[1\].g_col\[0\].pe/_1139_,29.02µm
g_row\[1\].g_col\[1\].pe/_1138_,28.99µm
g_row\[1\].g_col\[0\].pe/_0385_,28.98µm
g_row\[0\].g_col\[0\].pe/_1066_,28.96µm
g_row\[1\].g_col\[0\].pe/_0430_,28.96µm
net2983,28.96µm
g_row\[1\].g_col\[0\].pe/_0742_,28.95µm
g_row\[1\].g_col\[1\].pe/_0117_,28.95µm
g_row\[0\].g_col\[0\].pe/net1999,28.94µm
g_row\[1\].g_col\[1\].pe/net3026,28.93µm
g_row\[1\].g_col\[0\].pe/_0602_,28.92µm
g_row\[1\].g_col\[1\].pe/_1122_,28.92µm
clknet_leaf_52_clk,28.9µm
g_row\[1\].g_col\[0\].pe/_0876_,28.9µm
g_row\[1\].g_col\[0\].pe/r3_prod_mant\[10\],28.9µm
g_row\[0\].g_col\[1\].pe/net2356,28.895µm
net1414,28.88µm
clknet_leaf_99_clk,28.84µm
g_row\[0\].g_col\[1\].pe/_0845_,28.82µm
g_row\[1\].g_col\[0\].pe/_0262_,28.82µm
net2755,28.82µm
net3435,28.82µm
net2047,28.815µm
g_row\[0\].g_col\[1\].pe/_1075_,28.78µm
b_reg\[11\],28.76µm
g_row\[0\].g_col\[0\].pe/_1113_,28.76µm
g_row\[0\].g_col\[0\].pe/_0455_,28.72µm
g_row\[1\].g_col\[0\].pe/_0389_,28.72µm
g_row\[1\].g_col\[1\].pe/_0735_,28.72µm
net3483,28.72µm
g_row\[0\].g_col\[1\].pe/_1097_,28.7µm
g_row\[0\].g_col\[1\].pe/_0958_,28.68µm
clknet_leaf_63_clk,28.62µm
g_row\[1\].g_col\[1\].pe/_1101_,28.62µm
net3084,28.62µm
g_row\[0\].g_col\[0\].pe/net3594,28.62µm
g_row\[0\].g_col\[1\].pe/net1971,28.605µm
a_reg\[27\],28.6µm
_087_,28.58µm
g_row\[0\].g_col\[0\].pe/_1201_,28.58µm
g_row\[1\].g_col\[0\].pe/_0624_,28.56µm
g_row\[0\].g_col\[0\].pe/_0189_,28.54µm
_092_,28.48µm
g_row\[0\].g_col\[0\].pe/_0233_,28.48µm
g_row\[1\].g_col\[1\].pe/net1016,28.48µm
net3412,28.48µm
g_row\[1\].g_col\[0\].pe/_1040_,28.44µm
g_row\[1\].g_col\[1\].pe/_0532_,28.4µm
g_row\[0\].g_col\[1\].pe/_0825_,28.38µm
g_row\[0\].g_col\[1\].pe/_0076_,28.36µm
net1539,28.36µm
g_row\[1\].g_col\[0\].pe/_0570_,28.34µm
clknet_leaf_58_clk,28.32µm
net2042,28.295µm
net2640,28.285µm
net1949,28.28µm
clknet_leaf_33_clk,28.22µm
g_row\[1\].g_col\[0\].pe/_0808_,28.2µm
clknet_leaf_4_clk,28.2µm
g_row\[1\].g_col\[1\].pe/_1177_,28.185µm
g_row\[0\].g_col\[1\].pe/_0008_,28.18µm
g_row\[1\].g_col\[0\].pe/_0341_,28.16µm
g_row\[0\].g_col\[0\].pe/_0534_,28.14µm
net2516,28.14µm
net3452,28.14µm
g_row\[1\].g_col\[1\].pe/_0520_,28.12µm
g_row\[0\].g_col\[1\].pe/_1235_,28.1µm
g_row\[1\].g_col\[0\].pe/_0072_,28.1µm
g_row\[0\].g_col\[1\].pe/_0002_,28.08µm
g_row\[0\].g_col\[1\].pe/_0256_,28.08µm
net2468,28.06µm
g_row\[0\].g_col\[0\].pe/net3054,28.06µm
g_row\[0\].g_col\[0\].pe/_0767_,28.02µm
g_row\[1\].g_col\[1\].pe/_0447_,27.96µm
g_row\[0\].g_col\[0\].pe/net1993,27.96µm
clknet_leaf_84_clk,27.94µm
net2046,27.94µm
net2795,27.94µm
net3056,27.94µm
net3241,27.94µm
g_row\[0\].g_col\[0\].pe/_0941_,27.88µm
g_row\[1\].g_col\[0\].pe/_0066_,27.88µm
g_row\[0\].g_col\[1\].pe/_0998_,27.86µm
g_row\[1\].g_col\[0\].pe/_1288_,27.84µm
clknet_leaf_48_clk,27.82µm
g_row\[1\].g_col\[0\].pe/r2_mantissa\[9\],27.82µm
g_row\[1\].g_col\[0\].pe/_0387_,27.8µm
g_row\[0\].g_col\[0\].pe/net1910,27.78µm
g_row\[0\].g_col\[0\].pe/_0077_,27.76µm
g_row\[1\].g_col\[0\].pe/_0871_,27.76µm
net3184,27.75µm
clknet_leaf_11_clk,27.74µm
g_row\[1\].g_col\[1\].pe/net1968,27.73µm
g_row\[1\].g_col\[1\].pe/_0168_,27.72µm
clknet_leaf_47_clk,27.7µm
g_row\[0\].g_col\[1\].pe/_0010_,27.68µm
g_row\[1\].g_col\[1\].pe/net1811,27.68µm
net3368,27.68µm
g_row\[0\].g_col\[0\].pe/_0104_,27.66µm
g_row\[1\].g_col\[1\].pe/_1291_,27.66µm
g_row\[0\].g_col\[1\].pe/_1166_,27.64µm
g_row\[1\].g_col\[1\].pe/_0448_,27.62µm
g_row\[0\].g_col\[0\].pe/net1930,27.62µm
net3448,27.62µm
g_row\[0\].g_col\[1\].pe/_0465_,27.6µm
g_row\[0\].g_col\[0\].pe/_1164_,27.55µm
g_row\[0\].g_col\[1\].pe/net2157,27.545µm
_116_,27.54µm
net2433,27.54µm
g_row\[1\].g_col\[1\].pe/_0124_,27.53µm
g_row\[0\].g_col\[0\].pe/_0201_,27.52µm
g_row\[1\].g_col\[1\].pe/_1080_,27.52µm
g_row\[1\].g_col\[0\].pe/net2853,27.49µm
g_row\[0\].g_col\[0\].pe/_1287_,27.48µm
b_wire\[3\]\[8\],27.46µm
g_row\[1\].g_col\[1\].pe/r3_prod_mant\[3\],27.46µm
clknet_leaf_77_clk,27.4µm
net3564,27.4µm
g_row\[0\].g_col\[1\].pe/_0420_,27.38µm
g_row\[1\].g_col\[0\].pe/_0418_,27.38µm
clknet_leaf_100_clk,27.38µm
g_row\[0\].g_col\[1\].pe/_0291_,27.36µm
g_row\[1\].g_col\[1\].pe/_0576_,27.36µm
g_row\[1\].g_col\[1\].pe/net1711,27.36µm
g_row\[0\].g_col\[0\].pe/_1086_,27.33µm
g_row\[1\].g_col\[1\].pe/_0714_,27.32µm
g_row\[1\].g_col\[1\].pe/net1728,27.32µm
g_row\[1\].g_col\[1\].pe/net1986,27.32µm
g_row\[1\].g_col\[0\].pe/net2965,27.32µm
net2977,27.32µm
net3450,27.32µm
g_row\[1\].g_col\[0\].pe/net2836,27.315µm
b_wire\[2\]\[1\],27.3µm
g_row\[0\].g_col\[1\].pe/_1167_,27.3µm
g_row\[1\].g_col\[0\].pe/_1131_,27.3µm
g_row\[0\].g_col\[0\].pe/_0761_,27.28µm
g_row\[1\].g_col\[1\].pe/net1242,27.28µm
a_wire\[1\]\[13\],27.22µm
g_row\[1\].g_col\[0\].pe/_0307_,27.22µm
g_row\[0\].g_col\[1\].pe/_0746_,27.21µm
g_row\[0\].g_col\[1\].pe/_0707_,27.2µm
g_row\[1\].g_col\[1\].pe/_0012_,27.18µm
g_row\[1\].g_col\[1\].pe/_1174_,27.18µm
g_row\[0\].g_col\[0\].pe/net2911,27.18µm
g_row\[0\].g_col\[0\].pe/net3052,27.18µm
net1656,27.16µm
g_row\[1\].g_col\[0\].pe/net2063,27.16µm
b_wire\[2\]\[12\],27.13µm
g_row\[0\].g_col\[0\].pe/_0630_,27.12µm
net3582,27.12µm
net3589,27.12µm
g_row\[1\].g_col\[1\].pe/net2844,27.105µm
g_row\[0\].g_col\[1\].pe/_1124_,27.1µm
g_row\[0\].g_col\[1\].pe/_1184_,27.1µm
clknet_leaf_79_clk,27.1µm
g_row\[1\].g_col\[1\].pe/_0409_,27.08µm
g_row\[0\].g_col\[0\].pe/_0237_,27.06µm
g_row\[1\].g_col\[1\].pe/r2_mantissa\[7\],27.06µm
g_row\[1\].g_col\[0\].pe/_0074_,27.04µm
net3470,27µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[14\],26.99µm
g_row\[0\].g_col\[1\].pe/_0752_,26.98µm
g_row\[1\].g_col\[1\].pe/_0451_,26.96µm
clknet_leaf_29_clk,26.94µm
g_row\[1\].g_col\[1\].pe/_1140_,26.94µm
net1278,26.915µm
clknet_leaf_93_clk,26.86µm
g_row\[0\].g_col\[0\].pe/net2004,26.86µm
g_row\[0\].g_col\[1\].pe/_0141_,26.84µm
net3587,26.84µm
g_row\[0\].g_col\[1\].pe/_0702_,26.82µm
net2603,26.82µm
net2643,26.82µm
g_row\[0\].g_col\[0\].pe/net2015,26.8µm
g_row\[1\].g_col\[0\].pe/_0642_,26.79µm
g_row\[0\].g_col\[0\].pe/_0219_,26.78µm
g_row\[0\].g_col\[0\].pe/r4_acc\[2\],26.78µm
g_row\[0\].g_col\[1\].pe/_0326_,26.76µm
g_row\[1\].g_col\[1\].pe/net1709,26.76µm
g_row\[0\].g_col\[0\].pe/net1929,26.76µm
g_row\[0\].g_col\[1\].pe/_0217_,26.74µm
g_row\[1\].g_col\[1\].pe/_0008_,26.72µm
net2491,26.72µm
net3336,26.72µm
net3515,26.72µm
g_row\[0\].g_col\[1\].pe/net2238,26.705µm
g_row\[0\].g_col\[1\].pe/_0413_,26.69µm
g_row\[0\].g_col\[1\].pe/_0126_,26.68µm
g_row\[1\].g_col\[0\].pe/_1167_,26.68µm
g_row\[1\].g_col\[1\].pe/_1203_,26.68µm
net1433,26.68µm
g_row\[1\].g_col\[1\].pe/_1123_,26.66µm
g_row\[0\].g_col\[0\].pe/net2178,26.66µm
g_row\[0\].g_col\[1\].pe/_0486_,26.64µm
g_row\[0\].g_col\[1\].pe/_1230_,26.64µm
g_row\[0\].g_col\[1\].pe/net2971,26.64µm
net3456,26.64µm
g_row\[0\].g_col\[1\].pe/net2191,26.635µm
g_row\[0\].g_col\[1\].pe/_0983_,26.62µm
g_row\[1\].g_col\[1\].pe/_0003_,26.62µm
g_row\[0\].g_col\[0\].pe/net2017,26.62µm
g_row\[1\].g_col\[1\].pe/_0625_,26.58µm
g_row\[1\].g_col\[0\].pe/net1774,26.565µm
g_row\[1\].g_col\[1\].pe/_1191_,26.56µm
net1489,26.56µm
g_row\[0\].g_col\[1\].pe/_0411_,26.54µm
g_row\[0\].g_col\[1\].pe/_0683_,26.52µm
g_row\[0\].g_col\[1\].pe/r4_acc\[15\],26.52µm
g_row\[1\].g_col\[1\].pe/net2180,26.52µm
net2805,26.52µm
net3465,26.52µm
g_row\[0\].g_col\[1\].pe/_0705_,26.5µm
net2447,26.5µm
g_row\[0\].g_col\[0\].pe/_0273_,26.495µm
g_row\[0\].g_col\[0\].pe/net2975,26.44µm
g_row\[0\].g_col\[1\].pe/_0445_,26.42µm
g_row\[1\].g_col\[0\].pe/_1166_,26.42µm
net2690,26.42µm
b_wire\[3\]\[10\],26.4µm
g_row\[0\].g_col\[0\].pe/_0713_,26.4µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[11\],26.4µm
g_row\[1\].g_col\[0\].pe/_0426_,26.4µm
net2620,26.4µm
g_row\[1\].g_col\[1\].pe/_0088_,26.38µm
net3464,26.38µm
g_row\[0\].g_col\[0\].pe/_0676_,26.36µm
g_row\[0\].g_col\[0\].pe/_0810_,26.36µm
g_row\[0\].g_col\[1\].pe/_0066_,26.36µm
net2628,26.345µm
g_row\[0\].g_col\[0\].pe/_1326_,26.34µm
g_row\[0\].g_col\[1\].pe/_1237_,26.3µm
g_row\[1\].g_col\[1\].pe/_0624_,26.3µm
net3311,26.3µm
net1354,26.26µm
g_row\[1\].g_col\[0\].pe/_0603_,26.24µm
g_row\[1\].g_col\[1\].pe/_1007_,26.23µm
g_row\[0\].g_col\[0\].pe/net2000,26.225µm
net2682,26.225µm
g_row\[1\].g_col\[0\].pe/net1072,26.2µm
net2358,26.2µm
_093_,26.18µm
g_row\[0\].g_col\[1\].pe/_1045_,26.18µm
clknet_leaf_75_clk,26.18µm
g_row\[1\].g_col\[1\].pe/_0666_,26.18µm
g_row\[0\].g_col\[0\].pe/_1059_,26.14µm
g_row\[1\].g_col\[0\].pe/net2066,26.14µm
g_row\[0\].g_col\[0\].pe/_0359_,26.12µm
results_flat[40],26.12µm
g_row\[1\].g_col\[0\].pe/_0375_,26.1µm
g_row\[1\].g_col\[0\].pe/r4_acc\[11\],26.1µm
g_row\[1\].g_col\[0\].pe/net1898,26.1µm
g_row\[1\].g_col\[0\].pe/net1859,26.095µm
g_row\[0\].g_col\[1\].pe/_0367_,26.06µm
g_row\[1\].g_col\[1\].pe/_0296_,26.06µm
g_row\[1\].g_col\[0\].pe/net2902,26.04µm
g_row\[0\].g_col\[0\].pe/_0781_,26µm
g_row\[0\].g_col\[1\].pe/_0743_,25.98µm
g_row\[0\].g_col\[1\].pe/_0562_,25.96µm
g_row\[1\].g_col\[0\].pe/_0605_,25.96µm
results_flat[44],25.96µm
net1555,25.96µm
g_row\[0\].g_col\[0\].pe/_0092_,25.94µm
g_row\[0\].g_col\[1\].pe/_0116_,25.92µm
g_row\[1\].g_col\[1\].pe/_1106_,25.92µm
g_row\[1\].g_col\[0\].pe/net2072,25.92µm
g_row\[0\].g_col\[0\].pe/_0635_,25.86µm
g_row\[0\].g_col\[0\].pe/_0784_,25.86µm
g_row\[1\].g_col\[1\].pe/_0410_,25.86µm
g_row\[0\].g_col\[0\].pe/net1932,25.86µm
net2737,25.86µm
net2794,25.86µm
g_row\[0\].g_col\[1\].pe/_0092_,25.84µm
g_row\[0\].g_col\[1\].pe/_0102_,25.84µm
g_row\[1\].g_col\[1\].pe/_0627_,25.84µm
g_row\[1\].g_col\[1\].pe/_1075_,25.84µm
g_row\[1\].g_col\[1\].pe/net2882,25.84µm
net3059,25.84µm
g_row\[1\].g_col\[0\].pe/_0051_,25.8µm
g_row\[1\].g_col\[1\].pe/_0991_,25.8µm
g_row\[0\].g_col\[0\].pe/net2921,25.78µm
net3338,25.76µm
g_row\[1\].g_col\[1\].pe/_0676_,25.74µm
g_row\[1\].g_col\[1\].pe/net1739,25.74µm
g_row\[1\].g_col\[0\].pe/_0734_,25.67µm
g_row\[1\].g_col\[1\].pe/_0226_,25.66µm
g_row\[1\].g_col\[0\].pe/_1231_,25.64µm
g_row\[1\].g_col\[0\].pe/_0576_,25.6µm
g_row\[1\].g_col\[1\].pe/_0204_,25.6µm
g_row\[1\].g_col\[0\].pe/net2895,25.58µm
g_row\[0\].g_col\[0\].pe/_0931_,25.56µm
g_row\[0\].g_col\[0\].pe/net2878,25.56µm
net3511,25.56µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[4\],25.55µm
g_row\[1\].g_col\[1\].pe/_1213_,25.54µm
g_row\[1\].g_col\[1\].pe/_1238_,25.535µm
net2450,25.52µm
g_row\[1\].g_col\[1\].pe/_0389_,25.5µm
g_row\[0\].g_col\[0\].pe/_1211_,25.49µm
g_row\[1\].g_col\[1\].pe/net1938,25.485µm
g_row\[0\].g_col\[0\].pe/_0798_,25.48µm
g_row\[1\].g_col\[0\].pe/_0583_,25.48µm
net1628,25.48µm
g_row\[0\].g_col\[0\].pe/net2289,25.46µm
net2555,25.46µm
g_row\[0\].g_col\[0\].pe/_1297_,25.44µm
g_row\[1\].g_col\[1\].pe/_0071_,25.42µm
g_row\[1\].g_col\[1\].pe/_0622_,25.42µm
g_row\[0\].g_col\[1\].pe/_0867_,25.4µm
g_row\[0\].g_col\[1\].pe/net3053,25.385µm
g_row\[0\].g_col\[0\].pe/_0802_,25.34µm
g_row\[0\].g_col\[1\].pe/_0884_,25.32µm
g_row\[1\].g_col\[1\].pe/_0937_,25.32µm
g_row\[1\].g_col\[0\].pe/net2058,25.32µm
net3388,25.32µm
b_wire\[1\]\[13\],25.3µm
clknet_leaf_30_clk,25.3µm
g_row\[1\].g_col\[0\].pe/_0756_,25.27µm
g_row\[0\].g_col\[1\].pe/net2908,25.265µm
g_row\[0\].g_col\[0\].pe/_0064_,25.24µm
g_row\[1\].g_col\[0\].pe/_1058_,25.24µm
net2604,25.225µm
g_row\[0\].g_col\[0\].pe/_0872_,25.22µm
g_row\[1\].g_col\[1\].pe/_1164_,25.2µm
net1336,25.18µm
clknet_leaf_73_clk,25.18µm
g_row\[1\].g_col\[1\].pe/_0457_,25.18µm
g_row\[1\].g_col\[1\].pe/_1131_,25.18µm
g_row\[0\].g_col\[0\].pe/_0483_,25.16µm
g_row\[0\].g_col\[0\].pe/_0788_,25.12µm
g_row\[1\].g_col\[0\].pe/_0600_,25.11µm
g_row\[0\].g_col\[0\].pe/_0079_,25.1µm
clknet_leaf_9_clk,25.1µm
g_row\[1\].g_col\[0\].pe/r4_acc\[3\],25.1µm
g_row\[1\].g_col\[0\].pe/net3081,25.09µm
g_row\[1\].g_col\[1\].pe/_0682_,25.08µm
g_row\[0\].g_col\[0\].pe/_1306_,25.04µm
g_row\[1\].g_col\[1\].pe/_0006_,25.04µm
b_wire\[3\]\[14\],25.02µm
g_row\[0\].g_col\[0\].pe/_0073_,24.98µm
g_row\[0\].g_col\[0\].pe/_0915_,24.98µm
g_row\[0\].g_col\[1\].pe/_0960_,24.98µm
g_row\[0\].g_col\[1\].pe/_0991_,24.98µm
g_row\[0\].g_col\[0\].pe/_0156_,24.94µm
g_row\[1\].g_col\[1\].pe/_0102_,24.94µm
g_row\[1\].g_col\[1\].pe/net1954,24.935µm
g_row\[0\].g_col\[0\].pe/_0457_,24.92µm
g_row\[1\].g_col\[1\].pe/_0348_,24.91µm
g_row\[0\].g_col\[1\].pe/net1970,24.91µm
g_row\[0\].g_col\[0\].pe/r4_acc\[8\],24.9µm
