net,length_um
net3534,151.66µm
a_inputs_flat[8],151.58µm
g_row\[1\].g_col\[1\].pe/net1026,151.4µm
net2599,150.66µm
net3291,150.38µm
net1218,150.195µm
net3283,149.93µm
net3418,149.7µm
b_inputs_flat[1],149.48µm
net2607,149.22µm
g_row\[1\].g_col\[0\].pe/_0612_,148.99µm
b_reg\[16\],148.57µm
g_row\[0\].g_col\[1\].pe/net2986,148.55µm
net2539,148.26µm
g_row\[1\].g_col\[1\].pe/net1243,148.1µm
b_reg\[26\],147.95µm
g_row\[1\].g_col\[0\].pe/net1260,147.86µm
g_row\[1\].g_col\[0\].pe/net843,147.72µm
net2543,147.68µm
net1629,147.46µm
b_reg\[24\],147.3µm
net1340,146.64µm
net3250,146.62µm
a_inputs_flat[11],146.58µm
net2697,146.26µm
b_inputs_flat[2],146.06µm
net1204,145.825µm
g_row\[0\].g_col\[0\].pe/_0840_,145.695µm
g_row\[1\].g_col\[1\].pe/_1311_,145.305µm
net3316,145.18µm
g_row\[0\].g_col\[1\].pe/net1236,144.51µm
net3578,144.23µm
g_row\[0\].g_col\[0\].pe/net869,144.1µm
net2792,143.89µm
net2567,143.84µm
net1221,143.64µm
net1207,143.52µm
net2610,143.395µm
g_row\[1\].g_col\[1\].pe/r3_prod_sign,143.28µm
net3169,143.24µm
clknet_4_10_0_clk,143.21µm
net2605,143.1µm
net3294,143.04µm
g_row\[0\].g_col\[0\].pe/_0269_,142.83µm
g_row\[1\].g_col\[0\].pe/_0629_,142.01µm
b_inputs_flat[10],141.98µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[8\],141.84µm
net2486,141.8µm
net3238,141.8µm
net1195,141.365µm
g_row\[1\].g_col\[0\].pe/net931,141.33µm
net1089,141.14µm
net3174,140.82µm
net2768,140.66µm
g_row\[1\].g_col\[1\].pe/net1025,140.64µm
b_inputs_flat[25],140.4µm
g_row\[0\].g_col\[1\].pe/net1164,140.31µm
b_inputs_flat[5],140.22µm
g_row\[0\].g_col\[0\].pe/_0125_,139.82µm
a_reg\[8\],139.78µm
g_row\[0\].g_col\[1\].pe/net1158,139.72µm
g_row\[0\].g_col\[0\].pe/_0471_,139.71µm
a_wire\[4\]\[9\],139.535µm
net3339,139.49µm
net1209,139.43µm
g_row\[0\].g_col\[1\].pe/net2125,139.16µm
g_row\[0\].g_col\[1\].pe/net1136,139.13µm
net1289,139.08µm
g_row\[0\].g_col\[0\].pe/_0199_,138.96µm
clknet_4_8_0_clk,138.88µm
b_inputs_flat[7],138.58µm
net1102,138.26µm
a_wire\[3\]\[11\],137.94µm
net1596,137.87µm
g_row\[0\].g_col\[1\].pe/net2172,137.48µm
g_row\[0\].g_col\[1\].pe/net1120,136.9µm
net2791,136.78µm
net2479,136.72µm
net3255,136.68µm
load_weights,136.65µm
net3383,136.36µm
g_row\[0\].g_col\[1\].pe/net950,135.81µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[9\],135.8µm
net3542,135.47µm
net1280,135.44µm
net1348,135.3µm
g_row\[0\].g_col\[0\].pe/_0644_,134.895µm
net3398,134.84µm
g_row\[0\].g_col\[1\].pe/net1145,134.69µm
net1096,134.425µm
g_row\[0\].g_col\[1\].pe/net1148,134.4µm
net2673,134.29µm
net1213,134.14µm
g_row\[0\].g_col\[1\].pe/net942,133.86µm
b_inputs_flat[3],133.72µm
b_inputs_flat[8],133.64µm
net3248,133.64µm
net2505,133.19µm
g_row\[0\].g_col\[0\].pe/net1225,133.16µm
net3237,133.15µm
b_inputs_flat[6],133.02µm
net2674,133µm
net1456,132.74µm
g_row\[0\].g_col\[1\].pe/net1153,132.68µm
results_flat[28],132.59µm
g_row\[1\].g_col\[1\].pe/r2_sign,132.5µm
g_row\[0\].g_col\[1\].pe/net1117,132.46µm
b_inputs_flat[4],132.42µm
net1566,132.36µm
net3168,131.78µm
net1216,131.725µm
net1561,131.62µm
net2459,131.45µm
g_row\[1\].g_col\[0\].pe/_0558_,131.2µm
g_row\[0\].g_col\[1\].pe/net1173,131.12µm
_112_,131.08µm
net1459,130.86µm
net1212,130.7µm
g_row\[1\].g_col\[1\].pe/net1022,130.67µm
g_row\[1\].g_col\[0\].pe/_0001_,130.655µm
net3260,130.63µm
g_row\[1\].g_col\[1\].pe/net1009,130.33µm
net3188,130.28µm
g_row\[1\].g_col\[1\].pe/net1023,130.13µm
b_reg\[20\],130.12µm
net3209,130.06µm
net3312,129.89µm
net1331,129.84µm
net3177,129.66µm
net3361,129.6µm
a_wire\[3\]\[0\],129.58µm
_131_,128.22µm
net3204,128.16µm
net3187,128.04µm
net3239,128.04µm
g_row\[0\].g_col\[1\].pe/net1152,127.88µm
net2633,127.27µm
net2523,127.16µm
_105_,126.5µm
net3351,126.5µm
b_inputs_flat[26],126.38µm
net1327,126.24µm
net2089,126.19µm
g_row\[0\].g_col\[1\].pe/net1154,126.17µm
g_row\[0\].g_col\[0\].pe/net1211,126.115µm
net1437,126.04µm
net2471,125.9µm
net2096,125.68µm
net1522,125.5µm
net3386,125.4µm
g_row\[1\].g_col\[0\].pe/net910,125.22µm
g_row\[0\].g_col\[0\].pe/net977,125.08µm
g_row\[0\].g_col\[1\].pe/net1155,124.6µm
a_wire\[0\]\[14\],124.58µm
a_inputs_flat[15],124.55µm
net1246,124.5µm
net2631,124.5µm
g_row\[0\].g_col\[1\].pe/net1162,124.47µm
net2731,124.41µm
g_row\[1\].g_col\[1\].pe/net1027,124.4µm
net1552,124.29µm
g_row\[0\].g_col\[0\].pe/net872,124.2µm
g_row\[0\].g_col\[0\].pe/net1180,124.17µm
net3195,124.16µm
net1531,124.06µm
net1372,123.95µm
net1339,123.92µm
net2481,123.84µm
g_row\[0\].g_col\[0\].pe/_0389_,123.72µm
net2438,123.56µm
g_row\[0\].g_col\[1\].pe/r2_mantissa\[13\],123.46µm
net3334,123.28µm
_107_,123.2µm
g_row\[0\].g_col\[0\].pe/net991,123.18µm
net1306,123.16µm
g_row\[0\].g_col\[1\].pe/net963,123.025µm
g_row\[1\].g_col\[0\].pe/net1091,122.93µm
net1545,122.78µm
results_flat[17],122.71µm
net2562,122.685µm
net3165,122.62µm
g_row\[1\].g_col\[0\].pe/_0727_,122.095µm
g_row\[1\].g_col\[1\].pe/r2_mantissa\[13\],122.03µm
net3233,121.97µm
net3477,121.38µm
g_row\[0\].g_col\[1\].pe/_0644_,121.24µm
g_row\[0\].g_col\[0\].pe/net1193,121.2µm
net1320,120.8µm
g_row\[0\].g_col\[0\].pe/_0764_,120.76µm
net3494,120.55µm
net3344,120.28µm
g_row\[1\].g_col\[0\].pe/net1079,120.26µm
g_row\[0\].g_col\[1\].pe/_0694_,120.24µm
g_row\[0\].g_col\[1\].pe/net857,120.105µm
net1576,120.1µm
g_row\[1\].g_col\[0\].pe/net1081,120.04µm
b_inputs_flat[16],119.97µm
g_row\[1\].g_col\[0\].pe/r3_prod_sign,119.95µm
g_row\[1\].g_col\[1\].pe/net1046,119.9µm
g_row\[1\].g_col\[1\].pe/net1028,119.86µm
net3466,119.81µm
net3345,119.74µm
a_wire\[0\]\[8\],119.68µm
g_row\[1\].g_col\[0\].pe/net930,119.67µm
net3154,119.6µm
g_row\[0\].g_col\[1\].pe/net2133,119.425µm
net3206,119.42µm
g_row\[0\].g_col\[1\].pe/net2156,119.4µm
g_row\[1\].g_col\[0\].pe/_1311_,119.38µm
g_row\[0\].g_col\[1\].pe/net1160,119.3µm
g_row\[0\].g_col\[1\].pe/_0697_,119.1µm
b_reg\[1\],118.81µm
g_row\[0\].g_col\[0\].pe/r3_prod_mant\[9\],118.44µm
net2559,118.33µm
g_row\[1\].g_col\[1\].pe/net1033,118.32µm
g_row\[0\].g_col\[0\].pe/net1206,118.31µm
net1418,118.3µm
net1104,118.28µm
g_row\[0\].g_col\[0\].pe/net981,118.24µm
g_row\[1\].g_col\[1\].pe/net1029,117.94µm
g_row\[1\].g_col\[1\].pe/net898,117.775µm
net2515,117.71µm
net3357,117.52µm
a_inputs_flat[9],117.45µm
net3416,117.38µm
net3559,117.37µm
net3514,117.16µm
g_row\[0\].g_col\[1\].pe/net1141,117.095µm
net1106,116.9µm
g_row\[0\].g_col\[0\].pe/r2_mantissa\[8\],116.88µm
g_row\[1\].g_col\[1\].pe/net1040,116.84µm
net2526,116.805µm
g_row\[1\].g_col\[0\].pe/net1058,116.72µm
g_row\[0\].g_col\[0\].pe/net1716,116.69µm
net2431,116.64µm
net3355,116.54µm
b_inputs_flat[11],116.5µm
net1523,116.18µm
net3306,116.15µm
g_row\[1\].g_col\[1\].pe/_0689_,115.9µm
g_row\[0\].g_col\[1\].pe/net1157,115.79µm
g_row\[0\].g_col\[0\].pe/net1187,115.76µm
net3191,115.72µm
g_row\[1\].g_col\[1\].pe/_1060_,115.63µm
