net,length_um
_0686_,6.14µm
_0773_,6.14µm
_0808_,6.14µm
_1219_,6.14µm
_0146_,6.06µm
_0732_,6.06µm
_0363_,6.04µm
_0342_,6.02µm
_0351_,6.02µm
_0706_,6.02µm
_0754_,6.02µm
_0986_,6.02µm
_1200_,6.02µm
_1205_,6.02µm
_0997_,5.98µm
_0051_,5.94µm
_0335_,5.94µm
_0664_,5.94µm
_0769_,5.94µm
_0823_,5.94µm
_1052_,5.94µm
r3_prod_mant\[12\],5.94µm
_0214_,5.92µm
_0755_,5.9µm
_1060_,5.9µm
_1144_,5.9µm
_0200_,5.86µm
_0691_,5.86µm
net449,5.86µm
net672,5.86µm
_0022_,5.845µm
_0859_,5.84µm
_0291_,5.82µm
_0497_,5.82µm
_0862_,5.82µm
_0925_,5.82µm
_0940_,5.82µm
_1090_,5.82µm
_0213_,5.8µm
_0620_,5.8µm
_0660_,5.8µm
net638,5.8µm
_0400_,5.795µm
_0609_,5.745µm
_1099_,5.73µm
net541,5.725µm
_0187_,5.72µm
_0236_,5.72µm
_1063_,5.72µm
_1166_,5.72µm
_1208_,5.72µm
_0777_,5.7µm
_0106_,5.68µm
_0186_,5.68µm
_0526_,5.68µm
_0587_,5.68µm
_0897_,5.68µm
_1140_,5.68µm
_1242_,5.68µm
_0228_,5.6µm
_0658_,5.6µm
_0139_,5.56µm
_0145_,5.56µm
_0164_,5.56µm
_0205_,5.56µm
_0227_,5.56µm
_0442_,5.56µm
_0543_,5.56µm
_0670_,5.56µm
_1047_,5.56µm
net367,5.56µm
net671,5.52µm
_0939_,5.48µm
_0766_,5.44µm
_0840_,5.44µm
_0848_,5.44µm
_0909_,5.44µm
_1081_,5.44µm
_1073_,5.38µm
_0724_,5.36µm
_1087_,5.36µm
_1088_,5.36µm
_0006_,5.34µm
_0033_,5.34µm
_0060_,5.34µm
_0180_,5.34µm
_0255_,5.34µm
_0549_,5.34µm
_0618_,5.34µm
_0839_,5.34µm
_1094_,5.34µm
net558,5.34µm
_0477_,5.305µm
_1230_,5.305µm
_0463_,5.26µm
_0822_,5.26µm
_1027_,5.26µm
_1112_,5.26µm
_1113_,5.26µm
_1133_,5.26µm
net660,5.26µm
net668,5.26µm
_1278_,5.235µm
_0177_,5.22µm
_0239_,5.22µm
_0285_,5.22µm
_0403_,5.22µm
_0484_,5.22µm
_0496_,5.22µm
net320,5.22µm
_1201_,5.19µm
_0032_,5.14µm
_0165_,5.14µm
_0407_,5.14µm
_0490_,5.14µm
_0906_,5.14µm
_1240_,5.12µm
_1261_,5.12µm
_0118_,5.1µm
_0247_,5.1µm
_0251_,5.1µm
_0507_,5.1µm
_0626_,5.1µm
_0667_,5.1µm
_0684_,5.1µm
_0765_,5.1µm
_0768_,5.1µm
_0788_,5.1µm
_0858_,5.1µm
_1049_,5.1µm
_1193_,5.1µm
_0136_,5.06µm
_0183_,5.02µm
_0234_,5.02µm
_0554_,5.02µm
_1250_,5.02µm
_0728_,5µm
net419,5µm
_1105_,4.95µm
_0301_,4.94µm
net310,4.94µm
_0052_,4.92µm
_0171_,4.92µm
_0434_,4.92µm
_1015_,4.92µm
_0370_,4.9µm
_0699_,4.9µm
_0102_,4.88µm
_0134_,4.88µm
_0256_,4.88µm
_0282_,4.88µm
_0304_,4.88µm
_0485_,4.88µm
_0661_,4.88µm
_1031_,4.88µm
_1171_,4.88µm
_1175_,4.88µm
_1251_,4.88µm
_1264_,4.88µm
_0444_,4.845µm
_1216_,4.845µm
_1183_,4.84µm
_0443_,4.835µm
_1046_,4.83µm
_1139_,4.82µm
net547,4.82µm
_0305_,4.8µm
_0387_,4.8µm
_0431_,4.8µm
_0482_,4.8µm
_1170_,4.8µm
_1207_,4.8µm
net439,4.765µm
_0495_,4.76µm
_0542_,4.76µm
_0921_,4.76µm
_0945_,4.76µm
_0985_,4.76µm
_1238_,4.76µm
net628,4.76µm
_0087_,4.73µm
_0249_,4.68µm
_0792_,4.68µm
net326,4.68µm
_0261_,4.66µm
net498,4.635µm
_0462_,4.625µm
_0468_,4.625µm
_0959_,4.615µm
_0120_,4.6µm
_1033_,4.6µm
net548,4.6µm
_0489_,4.585µm
_0835_,4.58µm
_0061_,4.56µm
_0683_,4.56µm
_0797_,4.56µm
_0868_,4.56µm
_0881_,4.56µm
_0980_,4.56µm
_1026_,4.56µm
_1161_,4.56µm
_1295_,4.56µm
_1279_,4.49µm
_0029_,4.485µm
_0437_,4.48µm
_1021_,4.48µm
_0771_,4.46µm
net448,4.46µm
_0084_,4.44µm
_0562_,4.44µm
_0601_,4.44µm
_0786_,4.44µm
_0810_,4.44µm
_1100_,4.44µm
net253,4.44µm
_0514_,4.42µm
_0533_,4.42µm
_0534_,4.42µm
_0544_,4.42µm
_0559_,4.42µm
_0735_,4.42µm
_0801_,4.42µm
_0889_,4.42µm
_1048_,4.42µm
_1125_,4.42µm
_0791_,4.37µm
_0901_,4.37µm
_0374_,4.36µm
_0013_,4.34µm
_0364_,4.34µm
_0687_,4.34µm
_1070_,4.34µm
net411,4.34µm
net567,4.34µm
_0493_,4.295µm
_0720_,4.27µm
_0281_,4.22µm
_0871_,4.22µm
_0947_,4.22µm
_0998_,4.22µm
_1114_,4.22µm
_0807_,4.15µm
_0144_,4.12µm
net482,4.12µm
_0340_,4.1µm
_0460_,4.1µm
_0470_,4.1µm
_1102_,4.1µm
_0201_,4.03µm
_0233_,4.03µm
_0841_,4.03µm
_0929_,4.03µm
_1189_,4.03µm
_0393_,4.02µm
net371,4.02µm
_0124_,4µm
_0379_,4µm
_1196_,4µm
net645,4µm
_0166_,3.99µm
_1186_,3.98µm
_0879_,3.95µm
_0827_,3.91µm
_0049_,3.88µm
_0333_,3.88µm
_0456_,3.88µm
_0516_,3.88µm
_0530_,3.88µm
_0539_,3.88µm
_0837_,3.88µm
_0753_,3.87µm
_0050_,3.76µm
_0189_,3.76µm
_0637_,3.76µm
_0663_,3.76µm
net220,3.76µm
_1239_,3.76µm
_0453_,3.74µm
_0466_,3.74µm
net503,3.735µm
_0028_,3.705µm
_0501_,3.685µm
_0054_,3.68µm
_1066_,3.66µm
net401,3.66µm
_0474_,3.64µm
_0747_,3.64µm
_0960_,3.64µm
net373,3.64µm
net375,3.64µm
net606,3.56µm
_0119_,3.54µm
_0206_,3.54µm
_0209_,3.54µm
_0409_,3.54µm
_1158_,3.54µm
net614,3.54µm
_0748_,3.52µm
_0885_,3.52µm
_1191_,3.52µm
_1267_,3.52µm
_1092_,3.47µm
_1137_,3.45µm
_0174_,3.42µm
_0338_,3.42µm
_0449_,3.42µm
_0465_,3.42µm
_0479_,3.42µm
_0492_,3.42µm
_0499_,3.42µm
_0510_,3.42µm
_0725_,3.42µm
_0962_,3.42µm
_1224_,3.42µm
_1255_,3.42µm
_1291_,3.42µm
_1296_,3.42µm
net598,3.42µm
net661,3.42µm
_0764_,3.4µm
_0795_,3.35µm
_1036_,3.35µm
_0390_,3.3µm
_0452_,3.3µm
_0506_,3.3µm
_0876_,3.3µm
_1231_,3.3µm
net402,3.3µm
net469,3.225µm
net488,3.22µm
_0016_,3.2µm
_0312_,3.2µm
_0270_,3.18µm
_1148_,3.18µm
net430,3.125µm
net436,3.105µm
net539,3.1µm
_0053_,3.08µm
_0085_,3.08µm
_0135_,3.08µm
_0188_,3.08µm
_0653_,3.08µm
_0751_,3.08µm
_0953_,3.08µm
_0967_,3.08µm
_1235_,3.08µm
net362,3.08µm
net369,3.08µm
_0616_,3.06µm
_0707_,3.06µm
_1152_,3.06µm
_1236_,3.06µm
_0030_,3.045µm
net412,3.045µm
_0450_,2.995µm
_1228_,2.995µm
_0525_,2.99µm
_0114_,2.98µm
_0435_,2.98µm
_0461_,2.98µm
_0467_,2.98µm
_0126_,2.96µm
_0130_,2.96µm
_0319_,2.96µm
_0415_,2.96µm
_0522_,2.96µm
_0538_,2.96µm
_0553_,2.96µm
_0913_,2.96µm
_0978_,2.96µm
_1080_,2.96µm
_1262_,2.96µm
_1272_,2.96µm
net521,2.96µm
net596,2.96µm
_0627_,2.91µm
_0668_,2.91µm
_1051_,2.89µm
_0014_,2.885µm
_0019_,2.885µm
_0104_,2.84µm
_0225_,2.84µm
_0276_,2.84µm
_0367_,2.84µm
_0454_,2.84µm
_0515_,2.84µm
_1018_,2.84µm
_1256_,2.84µm
net404,2.785µm
_0066_,2.76µm
_0464_,2.76µm
_1009_,2.76µm
net592,2.76µm
net603,2.76µm
net665,2.76µm
_0081_,2.72µm
_0426_,2.72µm
_0546_,2.72µm
_0781_,2.72µm
net409,2.715µm
_0951_,2.68µm
_0512_,2.64µm
net622,2.64µm
_0004_,2.62µm
_0062_,2.62µm
_0096_,2.62µm
_0127_,2.62µm
_1019_,2.62µm
net370,2.62µm
_0498_,2.54µm
_0503_,2.54µm
_0163_,2.535µm
_1288_,2.52µm
net522,2.52µm
_0064_,2.5µm
_0204_,2.5µm
_0336_,2.5µm
_0347_,2.5µm
_0391_,2.5µm
_0469_,2.5µm
_0487_,2.5µm
_0488_,2.5µm
_0513_,2.5µm
_0517_,2.5µm
_0519_,2.5µm
_0531_,2.5µm
_0532_,2.5µm
_0537_,2.5µm
_0570_,2.5µm
_1025_,2.5µm
_1034_,2.5µm
_1124_,2.5µm
_1169_,2.5µm
net365,2.5µm
net329,2.5µm
net604,2.5µm
net605,2.5µm
net649,2.5µm
_0926_,2.43µm
_0027_,2.425µm
net457,2.425µm
_0309_,2.38µm
_0459_,2.38µm
_0521_,2.38µm
_0568_,2.38µm
_0665_,2.38µm
_1084_,2.38µm
_1188_,2.38µm
_0026_,2.375µm
_0195_,2.375µm
net415,2.325µm
_0290_,2.3µm
_0366_,2.3µm
_0520_,2.3µm
_0535_,2.3µm
_0545_,2.3µm
_0775_,2.3µm
_0805_,2.3µm
_0955_,2.3µm
_1298_,2.3µm
net616,2.3µm
net674,2.3µm
_0427_,2.28µm
_0598_,2.28µm
_1195_,2.28µm
net584,2.205µm
_0168_,2.18µm
_0311_,2.18µm
_0645_,2.18µm
_0656_,2.18µm
_0793_,2.18µm
_0950_,2.18µm
_0987_,2.18µm
_1181_,2.18µm
_1276_,2.18µm
_0010_,2.16µm
_0123_,2.16µm
_0156_,2.16µm
_0350_,2.16µm
_0355_,2.16µm
_0558_,2.16µm
_0916_,2.16µm
_0975_,2.16µm
_0991_,2.16µm
_1045_,2.16µm
_1214_,2.16µm
_1257_,2.16µm
_1292_,2.16µm
net530,2.16µm
net585,2.16µm
net662,2.16µm
_0473_,2.145µm
_0483_,2.145µm
net573,2.125µm
_0480_,2.085µm
net445,2.085µm
net514,2.085µm
_0018_,2.08µm
net322,2.06µm
net368,2.06µm
_0266_,2.04µm
_0273_,2.04µm
_0286_,2.04µm
_0303_,2.04µm
_0339_,2.04µm
_0341_,2.04µm
_0408_,2.04µm
_0424_,2.04µm
_0561_,2.04µm
_0717_,2.04µm
_0739_,2.04µm
_0854_,2.04µm
_0872_,2.04µm
_0875_,2.04µm
_0898_,2.04µm
_0918_,2.04µm
_0941_,2.04µm
_0966_,2.04µm
_0982_,2.04µm
_0995_,2.04µm
_1038_,2.04µm
_1300_,2.04µm
net363,2.04µm
_0882_,1.915µm
_0023_,1.865µm
_0025_,1.865µm
_0486_,1.865µm
net519,1.865µm
_0158_,1.84µm
_0306_,1.84µm
_0358_,1.84µm
_0502_,1.84µm
_0726_,1.84µm
_1215_,1.84µm
net601,1.84µm
_0110_,1.82µm
_0441_,1.82µm
_0447_,1.82µm
net515,1.82µm
_0012_,1.74µm
_0491_,1.72µm
_1164_,1.72µm
_0086_,1.7µm
_0307_,1.7µm
_0344_,1.7µm
_0410_,1.7µm
_0571_,1.7µm
_0737_,1.7µm
_0790_,1.7µm
_0984_,1.7µm
_1001_,1.7µm
_1040_,1.7µm
_1086_,1.7µm
_1091_,1.7µm
_1120_,1.7µm
net366,1.7µm
net610,1.7µm
_0011_,1.685µm
_0024_,1.685µm
net433,1.685µm
net352,1.6µm
_0451_,1.575µm
net424,1.575µm
net427,1.575µm
_0015_,1.38µm
_0065_,1.38µm
_0149_,1.38µm
net405,1.38µm
net499,1.38µm
net657,1.38µm
_0317_,1.36µm
net331,1.36µm
_0481_,1.26µm
_0731_,1.26µm
_0494_,1.02µm
_0092_,0.92µm
_0152_,0.92µm
_0175_,0.92µm
_0216_,0.92µm
_0269_,0.92µm
_0396_,0.92µm
_0414_,0.92µm
_0471_,0.92µm
_0529_,0.92µm
_0557_,0.92µm
_0652_,0.92µm
_0969_,0.92µm
_1199_,0.92µm
net594,0.92µm
net611,0.92µm
net627,0.92µm
net651,0.92µm
_0107_,0.46µm
_0245_,0.46µm
_0353_,0.46µm
_0536_,0.46µm
net516,0.46µm
net612,0.46µm
