Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_63_228,VGND,li1,111.0900,184.9600,0.000328
FILLER_63_225,VGND,li1,109.7100,184.9600,0.000328
FILLER_63_210,VGND,li1,102.3500,184.9600,0.000325
FILLER_63_195,VGND,li1,95.6800,184.9600,0.000317
FILLER_63_181,VGND,li1,89.0100,184.9600,0.000308
FILLER_63_178,VGND,li1,88.0900,184.9600,0.000302
FILLER_63_175,VGND,li1,86.7100,184.9600,0.000302
FILLER_63_172,VGND,li1,85.3300,184.9600,0.000296
FILLER_63_169,VGND,li1,83.9500,184.9600,0.000296
FILLER_63_153,VGND,li1,76.3600,184.9600,0.000277
FILLER_63_116,VGND,li1,59.5700,184.9600,0.000221
FILLER_63_113,VGND,li1,58.1900,184.9600,0.000212
FILLER_63_93,VGND,li1,48.5300,184.9600,0.000175
FILLER_63_60,VGND,li1,33.5800,184.9600,0.000102
FILLER_63_57,VGND,li1,32.4300,184.9600,0.000091
FILLER_63_53,VGND,li1,30.5900,184.9600,0.000079
FILLER_63_46,VGND,li1,26.9100,184.9600,0.000067
FILLER_63_43,VGND,li1,25.9900,184.9600,0.000057
FILLER_63_32,VGND,li1,20.4700,184.9600,0.000060
FILLER_63_26,VGND,li1,17.7100,184.9600,0.000060
FILLER_63_3,VGND,li1,7.5900,184.9600,0.000061
FILLER_62_318,VGND,li1,152.2600,179.5200,0.000512
FILLER_62_315,VGND,li1,151.1100,179.5200,0.000512
FILLER_62_312,VGND,li1,149.7300,179.5200,0.000512
FILLER_62_309,VGND,li1,148.3500,179.5200,0.000512
FILLER_62_292,VGND,li1,140.0700,179.5200,0.000512
FILLER_62_274,VGND,li1,131.7900,179.5200,0.000511
FILLER_62_271,VGND,li1,130.8700,179.5200,0.000510
FILLER_62_268,VGND,li1,129.4900,179.5200,0.000510
FILLER_62_265,VGND,li1,128.1100,179.5200,0.000509
FILLER_62_262,VGND,li1,126.7300,179.5200,0.000509
FILLER_62_259,VGND,li1,125.3500,179.5200,0.000509
FILLER_62_256,VGND,li1,123.9700,179.5200,0.000508
FILLER_62_253,VGND,li1,122.5900,179.5200,0.000508
FILLER_62_250,VGND,li1,120.9800,179.5200,0.000508
FILLER_62_247,VGND,li1,119.8300,179.5200,0.000507
FILLER_62_244,VGND,li1,118.4500,179.5200,0.000507
FILLER_62_241,VGND,li1,117.0700,179.5200,0.000507
FILLER_62_238,VGND,li1,115.6900,179.5200,0.000506
FILLER_62_235,VGND,li1,114.3100,179.5200,0.000505
FILLER_62_232,VGND,li1,112.9300,179.5200,0.000505
FILLER_62_229,VGND,li1,111.5500,179.5200,0.000505
FILLER_62_188,VGND,li1,92.2300,179.5200,0.000462
FILLER_62_185,VGND,li1,91.3100,179.5200,0.000453
FILLER_62_171,VGND,li1,84.4100,179.5200,0.000431
