Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_91_337,VPWR,li1,160.7700,258.4000,1.599642
FILLER_91_281,VPWR,li1,135.0100,258.4000,1.599512
FILLER_91_272,VPWR,li1,130.8700,258.4000,1.599501
FILLER_91_225,VPWR,li1,109.4800,258.4000,1.599481
FILLER_91_222,VPWR,li1,108.1000,258.4000,1.599481
FILLER_91_217,VPWR,li1,105.5700,258.4000,1.599483
FILLER_91_186,VPWR,li1,91.3100,258.4000,1.599505
FILLER_91_177,VPWR,li1,87.4000,258.4000,1.599513
FILLER_91_169,VPWR,li1,83.4900,258.4000,1.599525
FILLER_91_160,VPWR,li1,79.3500,258.4000,1.599536
FILLER_91_141,VPWR,li1,70.8400,258.4000,1.599564
FILLER_91_127,VPWR,li1,64.1700,258.4000,1.599596
FILLER_91_113,VPWR,li1,57.7300,258.4000,1.599623
FILLER_91_92,VPWR,li1,48.3000,258.4000,1.599674
FILLER_91_64,VPWR,li1,35.4200,258.4000,1.599746
FILLER_91_17,VPWR,li1,13.8000,258.4000,1.599833
FILLER_91_7,VPWR,li1,8.9700,258.4000,1.599833
FILLER_90_813,VPWR,li1,380.1900,258.4000,1.599833
FILLER_90_810,VPWR,li1,378.5800,258.4000,1.599833
FILLER_90_765,VPWR,li1,357.8800,258.4000,1.599844
FILLER_90_753,VPWR,li1,352.5900,258.4000,1.599848
FILLER_90_740,VPWR,li1,346.1500,258.4000,1.599855
FILLER_90_679,VPWR,li1,318.0900,258.4000,1.599819
FILLER_90_652,VPWR,li1,306.1300,258.4000,1.599778
FILLER_90_642,VPWR,li1,301.3000,258.4000,1.599760
FILLER_90_635,VPWR,li1,297.8500,258.4000,1.599742
FILLER_90_620,VPWR,li1,291.1800,258.4000,1.599721
FILLER_90_615,VPWR,li1,288.6500,258.4000,1.599715
FILLER_90_612,VPWR,li1,287.7300,258.4000,1.599715
FILLER_90_603,VPWR,li1,283.3600,258.4000,1.599697
FILLER_90_589,VPWR,li1,276.6900,258.4000,1.599685
FILLER_90_581,VPWR,li1,273.2400,258.4000,1.599675
FILLER_90_576,VPWR,li1,270.7100,258.4000,1.599670
FILLER_90_573,VPWR,li1,269.7900,258.4000,1.599665
