net,length_um
net1380,542.83µm
net563,541.495µm
net1370,541.055µm
net854,540.63µm
alu_out\[3\]\[2\],539.855µm
net1404,539.225µm
net905,537.41µm
_17421_,537.34µm
net656,536.53µm
net1422,531.6µm
net535,531.49µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[14\],528.79µm
_16427_,528.39µm
net898,526.37µm
net885,524.89µm
net569,524.19µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[13\],522.48µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[4\]\[9\],519.695µm
_16922_,519.14µm
net880,516.05µm
net876,515.62µm
net1012,515.38µm
net524,513.89µm
_17409_,513.85µm
net1053,512.5µm
net531,510.19µm
net579,509.9µm
net960,509.07µm
_15883_,508.62µm
_17769_,508.52µm
net553,508.08µm
net851,507.97µm
net595,507.155µm
net593,507.075µm
net1389,506.36µm
net624,506.02µm
net536,505.945µm
net1051,505.4µm
net897,504.1µm
net588,501.65µm
net967,500.6µm
net564,499.965µm
_16906_,496.58µm
net958,496.01µm
_16411_,495.82µm
net534,495.17µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[1\],494.97µm
_08865_,494.64µm
_08864_,493.345µm
net583,493.22µm
net545,493.05µm
_17394_,492.96µm
net1032,492.33µm
net533,491.95µm
net543,491.81µm
net540,491.485µm
net512,490.77µm
net556,490.4µm
net1048,489.65µm
net992,488.3µm
net571,488.24µm
_15867_,488.08µm
_15891_,485.51µm
net1071,484.61µm
net532,482.83µm
net1039,480.98µm
net601,480.62µm
net599,480.235µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[12\],479.98µm
net982,479.98µm
net573,479.23µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[8\],479.115µm
net1188,478.54µm
_15910_,478.04µm
net547,476.74µm
net1049,476.295µm
net928,475.77µm
_08349_,474.76µm
net546,474.47µm
net900,474.25µm
net1050,474.16µm
net591,474.11µm
net1038,473.68µm
net525,473.34µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[9\],472.85µm
net1036,472.495µm
net1040,472.29µm
net988,471.99µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[7\],471.64µm
net1042,471.51µm
_16938_,471.27µm
systolic_arrays\[0\].systolic_array_inst.g_row\[1\].g_col\[1\].pe.r3_prod_mant\[11\],470.72µm
net1271,469.465µm
net1003,468.535µm
clknet_0_clk,468.52µm
net511,467.74µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[2\],467.095µm
net598,465.54µm
net1072,465.33µm
net887,464.26µm
net1052,460.975µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[11\],460.685µm
net1189,460.47µm
net987,458.37µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[3\],458.09µm
_17774_,457.45µm
net600,457.345µm
_15900_,456.92µm
net859,453.44µm
net1190,453.32µm
_17071_,452.27µm
_15829_,451.69µm
net889,451.645µm
net613,451.505µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[3\],451.345µm
_16403_,450.98µm
net363,450.695µm
net520,450.34µm
net1004,449.53µm
net587,447.845µm
net957,447.83µm
net1005,447.785µm
net850,447.58µm
net991,447.315µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[6\],447µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[6\],446.6µm
net882,445.97µm
net1411,445.56µm
net1000,444.915µm
net845,444.31µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[1\],444.23µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[0\],443.99µm
net562,443.82µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[1\]\[5\],441.955µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[9\],441.48µm
net589,440.585µm
_15826_,440.09µm
net1191,439.16µm
net515,438.01µm
net340,437.655µm
_14159_,437.63µm
_16872_,437.455µm
net1429,436.88µm
threads\[0\].fma_instance.r3_signed\[0\],436.43µm
net997,436.27µm
net1011,435.36µm
net888,434.67µm
_17412_,434.62µm
net1037,434.165µm
systolic_arrays\[1\].systolic_array_inst.b_reg\[8\],433.36µm
_17633_,433.16µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[2\],432.83µm
net1375,432.04µm
net858,431.815µm
net566,431.1µm
net596,430.52µm
net1388,430.4µm
net1017,428.64µm
net990,428.39µm
_16421_,427.57µm
net541,426.96µm
net516,426.56µm
net989,425.22µm
_17936_,424.44µm
net1043,423.83µm
_02717_,423.7µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[2\],423.04µm
net1007,422.17µm
_17644_,420.8µm
net578,420.59µm
net1045,419.54µm
net529,419.28µm
net580,418.965µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[5\],417.395µm
net1022,416.5µm
net542,416.4µm
net550,414.23µm
net617,414.065µm
net1010,412.62µm
net1008,412.455µm
net1041,411.875µm
net857,410.645µm
systolic_arrays\[0\].systolic_array_inst.b_wire\[3\]\[0\],410.19µm
net702,409.525µm
net874,407.16µm
net539,406.99µm
_16882_,406.34µm
_17415_,406.205µm
net1006,406.035µm
systolic_arrays\[0\].systolic_array_inst.a_wire\[3\]\[7\],405.885µm
net1384,405.8µm
net561,404.255µm
_17763_,401.37µm
systolic_arrays\[1\].systolic_array_inst.a_wire\[4\]\[10\],401.13µm
net1002,401.095µm
